"Velocidades:0","Velocidades:1","Velocidades:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.28894,0.0051134,0,1,0.23035,0.5,0.23604,0.5
-0.28788,0.0051885,0,1,0.23134,0.5,0.23702,0.5
-0.28682,0.0052636,0,1,0.23233,0.5,0.23801,0.5
-0.28577,0.0053387,0,1,0.23332,0.5,0.239,0.5
-0.28465,0.0054003,0,1,0.23431,0.5,0.23999,0.5
-0.28347,0.0054482,0,1,0.23529,0.5,0.24098,0.5
-0.2823,0.0054961,0,1,0.23628,0.5,0.24197,0.5
-0.28112,0.005544,0,1,0.23727,0.5,0.24296,0.5
-0.27994,0.0055919,0,1,0.23826,0.5,0.24394,0.5
-0.27877,0.0056398,0,1,0.23925,0.5,0.24493,0.5
-0.27759,0.0056877,0,1,0.24024,0.5,0.24592,0.5
-0.27641,0.0057357,0,1,0.24123,0.5,0.24691,0.5
-0.27523,0.0057836,0,1,0.24221,0.5,0.2479,0.5
-0.27406,0.0058315,0,1,0.2432,0.5,0.24889,0.5
-0.27288,0.0058794,0,1,0.24419,0.5,0.24988,0.5
-0.2717,0.0059273,0,1,0.24518,0.5,0.25086,0.5
-0.27053,0.0059752,0,1,0.24617,0.5,0.25185,0.5
-0.26935,0.0060232,0,1,0.24716,0.5,0.25284,0.5
-0.26817,0.0060711,0,1,0.24815,0.5,0.25383,0.5
-0.267,0.006119,0,1,0.24913,0.5,0.25482,0.5
-0.26582,0.0061669,0,1,0.25012,0.5,0.25581,0.5
-0.26464,0.0062148,0,1,0.25111,0.5,0.2568,0.5
-0.26346,0.0062627,0,1,0.2521,0.5,0.25779,0.5
-0.26229,0.0063106,0,1,0.25309,0.5,0.25877,0.5
-0.26111,0.0063586,0,1,0.25408,0.5,0.25976,0.5
-0.25993,0.0064065,0,1,0.25507,0.5,0.26075,0.5
-0.25876,0.0064544,0,1,0.25606,0.5,0.26174,0.5
-0.25759,0.0064913,0,1,0.25704,0.5,0.26273,0.5
-0.25643,0.0065251,0,1,0.25803,0.5,0.26372,0.5
-0.25527,0.0065588,0,1,0.25902,0.5,0.26471,0.5
-0.2541,0.0065926,0,1,0.26001,0.5,0.26569,0.5
-0.25294,0.0066264,0,1,0.261,0.5,0.26668,0.5
-0.25178,0.0066601,0,1,0.26199,0.5,0.26767,0.5
-0.25062,0.0066939,0,1,0.26298,0.5,0.26866,0.5
-0.24945,0.0067276,0,1,0.26396,0.5,0.26965,0.5
-0.24829,0.0067614,0,1,0.26495,0.5,0.27064,0.5
-0.24713,0.0067952,0,1,0.26594,0.5,0.27163,0.5
-0.24597,0.0068289,0,1,0.26693,0.5,0.27261,0.5
-0.2448,0.0068627,0,1,0.26792,0.5,0.2736,0.5
-0.24364,0.0068965,0,1,0.26891,0.5,0.27459,0.5
-0.24248,0.0069302,0,1,0.2699,0.5,0.27558,0.5
-0.24132,0.006964,0,1,0.27088,0.5,0.27657,0.5
-0.24015,0.0069978,0,1,0.27187,0.5,0.27756,0.5
-0.23899,0.0070315,0,1,0.27286,0.5,0.27855,0.5
-0.23783,0.0070653,0,1,0.27385,0.5,0.27954,0.5
-0.23667,0.007099,0,1,0.27484,0.5,0.28052,0.5
-0.2355,0.0071328,0,1,0.27583,0.5,0.28151,0.5
-0.23434,0.0071666,0,1,0.27682,0.5,0.2825,0.5
-0.23318,0.0072003,0,1,0.27781,0.5,0.28349,0.5
-0.23202,0.0072341,0,1,0.27879,0.5,0.28448,0.5
-0.23089,0.0072677,0,1,0.27978,0.5,0.28547,0.5
-0.22982,0.0073011,0,1,0.28077,0.5,0.28646,0.5
-0.22874,0.0073345,0,1,0.28176,0.5,0.28744,0.5
-0.22767,0.0073679,0,1,0.28275,0.5,0.28843,0.5
-0.2266,0.0074013,0,1,0.28374,0.5,0.28942,0.5
-0.22553,0.0074347,0,1,0.28473,0.5,0.29041,0.5
-0.22445,0.0074681,0,1,0.28571,0.5,0.2914,0.5
-0.22338,0.0075015,0,1,0.2867,0.5,0.29239,0.5
-0.22231,0.0075349,0,1,0.28769,0.5,0.29338,0.5
-0.22124,0.0075683,0,1,0.28868,0.5,0.29436,0.5
-0.22016,0.0076017,0,1,0.28967,0.5,0.29535,0.5
-0.21909,0.0076351,0,1,0.29066,0.5,0.29634,0.5
-0.21802,0.0076685,0,1,0.29165,0.5,0.29733,0.5
-0.21695,0.0077019,0,1,0.29263,0.5,0.29832,0.5
-0.21587,0.0077353,0,1,0.29362,0.5,0.29931,0.5
-0.2148,0.0077687,0,1,0.29461,0.5,0.3003,0.5
-0.21373,0.0078021,0,1,0.2956,0.5,0.30129,0.5
-0.21266,0.0078355,0,1,0.29659,0.5,0.30227,0.5
-0.21158,0.0078689,0,1,0.29758,0.5,0.30326,0.5
-0.21051,0.0079023,0,1,0.29857,0.5,0.30425,0.5
-0.20944,0.0079357,0,1,0.29956,0.5,0.30524,0.5
-0.20837,0.0079691,0,1,0.30054,0.5,0.30623,0.5
-0.2073,0.0080025,0,1,0.30153,0.5,0.30722,0.5
-0.20622,0.0080359,0,1,0.30252,0.5,0.30821,0.5
-0.20519,0.0080731,0,1,0.30351,0.5,0.30919,0.5
